emb_0,emb_1,label
-0.63700515,0.38509277,0
-0.37471986,0.21621317,1
-0.16739756,0.10158342,1
-0.5772826,0.34174752,0
-0.5830343,0.34497893,0
-0.6231416,0.37534827,0
-0.5215796,0.31039768,0
-0.14782323,0.08766425,1
-0.07800552,0.05336669,0
-0.046079487,0.038534522,1
-0.56751144,0.33646652,0
-0.63724107,0.38535556,0
-0.56646425,0.3359403,0
-0.10137534,0.06749359,1
-0.065246195,0.0477504,1
-0.28449416,0.15724985,0
-0.34492993,0.18972032,1
-0.57158124,0.33874953,1
-0.2937804,0.16790274,0
-0.60664153,0.3628136,0
-0.054728106,0.04251975,1
-0.20188823,0.11810714,0
-0.6150387,0.3690928,1
-0.24679112,0.13884258,1
-0.44934922,0.26307914,0
-0.2067155,0.115760595,1
